Title,Company,Location,Salary Min,Salary Max,Category,Description,URL,Salary Avg,Is Remote
Product Data Analyst- Pensions,Lorien,"London, UK",60682.15,60682.15,IT Jobs,"Product Data Analyst- Pensions We are currently recruiting for a Product Data Analyst with digital analytics experience to join one of our Insurance clients on a 6-month contract. Inside IR35 Hybrid Responsibilities: Own the development and implementation of data models, analytics frameworks, and experimentation strategies across the platform. Analyze user journeys and behavioral data across tenants to uncover insights that inform product and engagement strategies. Develop segmentation and pred…",https://www.adzuna.co.uk/jobs/land/ad/5137612448?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=31CAEB0CAD6A605B9C1C07629DF31E964D7F0E5A,60682.15,False
Actuarial Pricing/ Data Analyst,High Finance  Limited T/A HFG,"London, UK",40000.0,45000.0,IT Jobs,"We've partnered with a leading Lloyd's syndicate to hire two Pricing Analysts to join their growing and innovative pricing function. This is a fantastic opportunity for those who love the technical side of actuarial work, enjoy building models, working with large datasets, and applying data science techniques in a commercial environment. You'll be joining a collaborative, high-performing pricing team where you will have the opportunity to: Build, enhance, and deploy pricing models using actuari…",https://www.adzuna.co.uk/jobs/land/ad/5130108707?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=0632F43EE348D9A45078E8A640A371CC9BA9FFD7,42500.0,False
Data Test Analyst - London,TEN10 SOLUTIONS LIMITED,"Southwark, South East London",54061.56,54061.56,IT Jobs,"Data Tester Opportunity at Ten10 Join a Leading Tech Consultancy Permanent | Hybrid 2 days/week in-office | London Start date May 2025 Ten10, one of the UKs top Quality Engineering consultancies, is expanding We are looking for two experienced Data Warehouse Quality Engineers to support multiple analytics projects for a prestigious client. About You: Expertise in testing Oracle, Snowflake, and Postgres databases and data warehouses Experience delivering fully reconciled Facts and Dimensions wit…",https://www.adzuna.co.uk/jobs/land/ad/5129909277?se=lpsSeCAd8BG-i3PTGXcHCQ&utm_medium=api&utm_source=335654ca&v=37E10AF4848B92D2CC64B40FC5788F587A125E2E,54061.56,False
Data Analyst Trainee (Hiring Immediately),ITonlinelearning Recruitment,"London, UK",34522.11,34522.11,IT Jobs,"Are you eager to find data analyst jobs and kickstart your career in the data analysis sector, even without prior formal experience? If you are detail-oriented, perceptive, and analytical, brace yourself for a gratifying journey in Data Analysis. We specialise in launching careers in the Data Analysis sector through our comprehensive placement program. Our forte is the delivery of accredited online DA training, backed by our expert support and recruitment teams. This paves the way for a seamles…",https://www.adzuna.co.uk/jobs/details/5104439636?utm_medium=api&utm_source=335654ca,34522.11,False
Data Analyst,WALT Labs,"London, UK",30000.0,45000.0,IT Jobs,"WALT Labs, a leading managed service provider, is dedicated to empowering businesses by harnessing the power of cloud technology. Our team specializes in delivering customized solutions tailored to meet the unique needs of our clients, driving growth and operational efficiency across industries. From supporting small businesses with seamless data migration to enabling large corporations to manage complex infrastructure projects, we provide exceptional service while staying at the forefront of c…",https://www.adzuna.co.uk/jobs/details/5120462087?utm_medium=api&utm_source=335654ca,37500.0,False
Data Analyst,Axle Energy,"London, UK",40000.0,70000.0,IT Jobs,"We generate millions of datapoints each day, and we're hiring our first Data Analyst to help make sense of them. The electricity grid is changing beyond recognition, and without deploying new software to orchestrate it, we’ll be unable to decarbonise. At Axle, we’re building the infrastructure that’ll underpin the decarbonised energy system. Our software crushes CO2 and energy costs. Our goal is insanely ambitious, and we’re building a team to match the scale of this challenge. We’ve just raise…",https://www.adzuna.co.uk/jobs/details/5048955221?utm_medium=api&utm_source=335654ca,55000.0,False
Data Analyst,The Tithonia Group,"London, UK",40000.0,50000.0,IT Jobs,"Location : London, hybrd (3 days a week in office) Salary : £40-50K, depending on experience Employment Type : Full-Time Experience Level : 0-2 years About the Company Simple Pharma’s purpose is to be the best home for proven pharma products. The pharma industry overspends on pharma operations by €100bn per year, putting the success of their pharma products at risk and creating inefficiencies in the healthcare system. Simple Pharma is building the first end-to-end distribution and complianc…",https://www.adzuna.co.uk/jobs/details/5133560719?utm_medium=api&utm_source=335654ca,45000.0,False
Data Analyst,Trade Nation,"London, UK",50000.0,50000.0,IT Jobs,"As a Data Analyst, you will report into the Head of Data. The purpose of the role is to collect, clean, and analyse data to identify trends and insights using statistical tools. You'll present findings through dashboards, charts, and reports, providing actionable business recommendations. Your role includes monitoring key performance indicators (KPIs) and automating data processes with SQL and Python for efficiency. Collaboration with teams across marketing, finance, and operations will ensure …",https://www.adzuna.co.uk/jobs/details/5129525811?utm_medium=api&utm_source=335654ca,50000.0,False
Data Analyst,Modulr,"London, UK",46880.44,46880.44,Accounting & Finance Jobs,"Are you curious, excited by experimentation and always looking for a better way of doing things? Do you want to keep learning and developing whilst getting hands-on experience delivering for a FinTech scaleup in the embedded payments space? Do you want to have the opportunity to define and execute exciting and eye-catching product and customer-led demand and lead generation camapigns in a rapidly growing business? If so, we would love to hear from you We are one of the fastest-growing payments …",https://www.adzuna.co.uk/jobs/details/5140653209?utm_medium=api&utm_source=335654ca,46880.44,False
Data Analyst,Marks Sattin,"London, UK",33000.0,43000.0,IT Jobs,"Are you an experienced Data Analyst looking to further your career? Then this is the opportunity for you You will be working with an enthusiastic team in the heart of London, managing and analyzing all of activity data, reporting business intelligence, and more KEY RESPONSIBILITIES The Data Analyst will support weekly and monthly reporting cycle Design and maintain a range of activity and quality metrics Manage monthly submissions to commissioners and regulatory bodies Develop and maintain a su…",https://www.adzuna.co.uk/jobs/details/5126248630?utm_medium=api&utm_source=335654ca,38000.0,False
Data Analyst,CURE TALENT LIMITED,"West London, London",50000.0,50000.0,IT Jobs,"Cure Talent is thrilled to partner with a rapidly growing medical technology company behind an award-winning medical device and transformative telehealth platform. We're now looking for a Data Analyst to join their team and play a key role in delivering data-driven insights to support smarter decisions and better patient outcomes (Hybrid role, one day per week onsite in London). This is an exciting opportunity to work in a high-impact role where your analysis will directly contribute to improvi…",https://www.adzuna.co.uk/jobs/details/5129748690?utm_medium=api&utm_source=335654ca,50000.0,False
Data Analyst,Cure Talent Ltd,"West End, West London",45000.0,50000.0,IT Jobs,"Cure Talent is thrilled to partner with a rapidly growing medical technology company behind an award-winning medical device and transformative telehealth platform. We're now looking for a Data Analyst to join their team and play a key role in delivering data-driven insights to support smarter decisions and better patient outcomes (Hybrid role, one day per week onsite in London). This is an exciting opportunity to work in a high-impact role where your analysis will directly contribute to improvi…",https://www.adzuna.co.uk/jobs/details/5129881794?utm_medium=api&utm_source=335654ca,47500.0,False
Data Analyst,Burton Bolton & Rose Recruitment Services Limited,"London, UK",34750.0,34750.0,Admin Jobs,"Data Analyst London, NW9 £34,750 Pension Parking This growing local employer are seeking an efficient Data Analyst to join their team and take on a wide range of responsibilities, excellent career prospects are available to the right person. Some of your duties will include: - Managing administration processes and producing management reports detailing corporate performance - Producing a wide variety of reports in the form of word documents, excel spreadsheets and presentations - Collating an…",https://www.adzuna.co.uk/jobs/details/5121582904?utm_medium=api&utm_source=335654ca,34750.0,False
Data Analyst,The Candidate Ltd,"London, UK",45000.0,50000.0,IT Jobs,We are delighted to be representing a thriving and innovative fashion business based in London. They are seeking a talented and enthusiastic Data Analyst to join their growing team. This is an exciting opportunity to play a key role in driving business decisions through insightful data analysis within a dynamic and fast-paced environment. Our client is a successful online retailer with ambitious growth plans. They pride themselves on their customer-centric approach and are looking for a data-dr…,https://www.adzuna.co.uk/jobs/details/5148318045?utm_medium=api&utm_source=335654ca,47500.0,False
Data Analyst,Pod Talent Ltd,"Farringdon, Central London",30000.0,37000.0,IT Jobs,"Pod Talent is partnering with a massive player in a rapidly growing consumer goods market, looking for a Data Analyst to support their team in North London. As a Data Analyst, the main goal is to turn data into actionable insights that support strategic, data-driven decisions. This involves gathering, cleaning, analysing, and interpreting data to uncover trends and patterns that drive improved business performance and revenue growth. In this role: You will… Collect, clean, and analyse data from…",https://www.adzuna.co.uk/jobs/details/5150531373?utm_medium=api&utm_source=335654ca,33500.0,False
Data Analyst,Pod Talent,"London, UK",30000.0,37000.0,IT Jobs,"Pod Talent is partnering with a massive player in a rapidly growing consumer goods market, looking for a Data Analyst to support their team in North London. As a Data Analyst, the main goal is to turn data into actionable insights that support strategic, data-driven decisions. This involves gathering, cleaning, analysing, and interpreting data to uncover trends and patterns that drive improved business performance and revenue growth. In this role: You will… Collect, clean, and analyse data from…",https://www.adzuna.co.uk/jobs/details/5150791875?utm_medium=api&utm_source=335654ca,33500.0,False
Data Analyst,Cedar,"The City, Central London",104000.0,130000.0,IT Jobs,"Cedar is currently partnered with a private equity-backed telecoms business to secure an Interim Data Analyst, based in The City of London. This is a hybrid contract role offering £400 - £500 per day (Inside IR35), for an initial 3-6 months, with the opportunity to play a pivotal role in system integration and data transformation at a business-critical moment. The Company This PE-backed telecoms business has rapidly scaled to become a major player in the UK fibre broadband space. With a strong …",https://www.adzuna.co.uk/jobs/details/5116775070?utm_medium=api&utm_source=335654ca,117000.0,False
Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",91000.0,104000.0,IT Jobs,"Marketing Data Analyst (Contract) £400/day | Inside IR35 | 2 Months (Strong Extension Potential) Hybrid - 3 Days/Week in Office (London) A leading marketing agency is looking for a skilled Marketing Data Analyst to join on a short-term contract, supporting media and marketing analytics across online and offline channels. The role is hands-on and insight-driven, ideal for someone with strong technical and analytical skills who can deliver real impact. Key Responsibilities: Analyse performance ac…",https://www.adzuna.co.uk/jobs/details/5138060083?utm_medium=api&utm_source=335654ca,97500.0,False
Data Analyst,Nexus Jobs Limited,"London, UK",40000.0,45000.0,IT Jobs,Job Description Data Analyst - Holborn London Our Client is looking to recruit a Data Analyst with at least 5 years proven experience. As a Data Analyst you will ensure that all data is processed and quality assured so that it can be analysed through appropriate systems with a view to the production of reports that can assist the Client services and other stakeholders make effective decisions and support the assessment of indicators and other business intelligence processes Key responsibilities…,https://www.adzuna.co.uk/jobs/details/5097835282?utm_medium=api&utm_source=335654ca,42500.0,False
Data Analyst,autone,"London, UK",60405.81,60405.81,IT Jobs,"About us autone is reimagining the future of retail with cutting-edge AI-driven intelligence, empowering brands to make smart, waste-free decisions that drive growth and efficiency. Trusted by over 50 global brands, we blend advanced AI and deep retail expertise to unlock seamless collaboration between supply chains and human insight. The result? Reduced inventory waste, boosted sales, and precise forecasting that saves money and enhances operations - all while empowering teams to focus on what…",https://www.adzuna.co.uk/jobs/details/5152938125?utm_medium=api&utm_source=335654ca,60405.81,False
Data Analyst,Venn Group,"London, UK",104000.0,104000.0,IT Jobs,"Data Analyst - Telecommunications Organisation The Data Analyst will play a key role in developing and managing big data products, ensuring they are efficient, scalable, and valuable to clients. This includes building, maintaining, optimising, and automating SQL-based data pipelines and processes to enhance data products that deliver actionable insights. Working within an agile product development team , the role is jointly accountable for the quality, development, and operation of these produc…",https://www.adzuna.co.uk/jobs/details/5114566877?utm_medium=api&utm_source=335654ca,104000.0,False
Data Analyst,Harnham - Data & Analytics Recruitment,"London, UK",55000.0,60000.0,IT Jobs,"Data Analyst £55-60k (dependent upon experience) Hybrid- West London (3 days a week in office) A leading UK estate agency is looking for a data analyst to shape reporting outputs & analytics delivery across the business, driving commercial value from data. THE COMPANY The company is a leading estate agency- known for their cutting-edge approach to sales and lettings. Data is extremely important to them and so they are looking to grow out their team with new analysts who will be working across a…",https://www.adzuna.co.uk/jobs/details/5134415313?utm_medium=api&utm_source=335654ca,57500.0,False
Data Analysts,Harnham - Data & Analytics Recruitment,"London, UK",40000.0,55000.0,IT Jobs,"?? Data Analyst x2 - Junior & Mid-Level East London (Hybrid - 3 days per week) £40,000 - £55,000 DOE We're working with a fast-moving, customer-focused telco brand looking to bring in two Data Analysts - one more junior, one more mid-level - to help drive insight across their commercial and customer landscape. This is a great opportunity for someone with solid SQL skills who wants hands-on experience, meaningful projects, and genuine growth opportunities (with a clear path to promotion over the…",https://www.adzuna.co.uk/jobs/details/5146544944?utm_medium=api&utm_source=335654ca,47500.0,False
Data Analyst,Adecco,"London, UK",91000.0,104000.0,IT Jobs,"Job Title: Data Analyst Location: London/ Hybrid - 2 days in-office: Tuesday & Friday Duration: Initial 6 months Day Rate: £350 - £400 per day (depending on level of experience) About the Role: We're looking for a skilled and analytical Data Analyst to support a variety of workforce-related projects while our high-profile banking clients overseas operations get up and running Based in London with flexible remote options, you'll be working closely with project teams to deliver data-driven insigh…",https://www.adzuna.co.uk/jobs/details/5144238695?utm_medium=api&utm_source=335654ca,97500.0,True
Data Analyst,Harnham - Data & Analytics Recruitment,"Heathrow, Hounslow",55000.0,65000.0,IT Jobs,"??Data Analyst ?? West London (3 days a week on-site) ?? £55,000 - £60,000 About the Company A leading name in the UK property sector is on the hunt for a mid-level Data Analyst to join their growing data team. With a strong foundation in Business Intelligence and a forward-thinking approach to tech, this company has spent the last five years investing heavily in their data infrastructure and are now gearing up to take things even further - including AI implementation over the next 6-12 months.…",https://www.adzuna.co.uk/jobs/details/5150240599?utm_medium=api&utm_source=335654ca,60000.0,False
Data Analyst,Adecco,"The City, Central London",91000.0,104000.0,IT Jobs,"Job Title: Data Analyst Location: London/ Hybrid - 2 days in-office: Tuesday & Friday Duration: Initial 6 months Day Rate: £350 - £400 per day (depending on level of experience) About the Role: We're looking for a skilled and analytical Data Analyst to support a variety of workforce-related projects while our high-profile banking clients overseas operations get up and running Based in London with flexible remote options, you'll be working closely with project teams to deliver data-driven insigh…",https://www.adzuna.co.uk/jobs/details/5144189795?utm_medium=api&utm_source=335654ca,97500.0,True
Data Analyst,Capi Money,"London, UK",37478.89,37478.89,IT Jobs,"About the Company: Capi helps businesses in Africa pay their international suppliers. We’ve raised over $18m from Creandum, Y Combinator, General Catalyst, Firstminute, Janngo, Kima Ventures, and some great angels from Revolut, Checkout, Stripe, Onfido, and Remitly. Capi was founded by Mitch Riley, Scott Liddle, and Tom Watson. Mitch and Scott were COO/CFO/GC and CRO/CMO at Taptap Send, a remittance unicorn, and have spent two decades between them working in emerging markets. Tom is a third-tim…",https://www.adzuna.co.uk/jobs/details/5016594382?utm_medium=api&utm_source=335654ca,37478.89,False
Data Analyst,Ecs Resource Group,"Fenchurch St, Central London",38473.76,38473.76,IT Jobs,"Job Description Data Analyst – Hybrid/ London - 2 week contract - £400 - £450 outside ir35 As the successful candidate you will be working closely and supporting the CRM team within IT. You will be producing reports, for teams, helping them to understand the data and any trends. There will be needs to understand reporting needs from end users and producing reports for them. Making sure these reports are presentable and user friendly. Essential Skills… Previous data analysis, reporting and insig…",https://www.adzuna.co.uk/jobs/details/5024862615?utm_medium=api&utm_source=335654ca,38473.76,False
Data Analyst,Tradeweb,"London, UK",43950.44,43950.44,IT Jobs,"Description of the Position: We are looking to recruit a Data Analyst within our Market Data, Data & Analytics group. The primary focus of this role will be related to the management of inbound and outbound data used to support Tradeweb's electronic trading platform and its data products. In this role, the Data Analyst will be involved with the onboarding and review process related to new and existing reference data used to populate Tradeweb's Security Master Data. The Analyst will also be resp…",https://www.adzuna.co.uk/jobs/details/5131394970?utm_medium=api&utm_source=335654ca,43950.44,False
Data Analyst,emagine,"London, UK",36203.39,36203.39,IT Jobs,"Data Analyst - Banking £450 per day London - (Hybrid) emagine is a high-end professional services consultancy and solutions firm specializing in providing business and technology services to the financial services sector. We power progress, solve challenges, and deliver real results through tailored high-end consulting services and solutions. We have created a culture of openness and integrity by building genuine and strong relationships and partnerships, enabling us to be uncompromising in our…",https://www.adzuna.co.uk/jobs/details/5135181867?utm_medium=api&utm_source=335654ca,36203.39,False
Data Analyst,McGregor Boyall Associates Limited,"The City, Central London",70000.0,70000.0,Accounting & Finance Jobs,"Role: Data Analyst Salary: Up to £70,000 Location: London (Hybrid - 3 days p/w in office) Join a leading commercial bank's risk modelling team, which focuses on developing and maintaining stress testing tools and models, producing insightful risk analytics, and overseeing data governance activities. Key Responsibilities Deliver regular MI reports and respond to ad-hoc data analysis requests Develop insightful, robust data analysis to support both recurring and one-off reporting needs Enhance th…",https://www.adzuna.co.uk/jobs/details/5136213398?utm_medium=api&utm_source=335654ca,70000.0,False
Data Analyst,Lockton,"London, UK",30977.51,30977.51,Accounting & Finance Jobs,"General information Reference 003388 Location United Kingdom, London, London Work Place Hybrid Region UK Job Profile Lockton - Apprentice Title Data Analyst Description Our People Solutions team are looking for bright, enthusiastic and articulate candidates keen to gain experience and start their career in a dynamic and fast-paced environment. Drive and attention to detail essential. The successful candidates will be working closely with other analysts to learn the role and to support on the da…",https://www.adzuna.co.uk/jobs/details/5016593695?utm_medium=api&utm_source=335654ca,30977.51,False
Data Analyst,Lorien,"London, UK",43594.07,43594.07,Accounting & Finance Jobs,"Data AnalystHybrid Working - London - 2 days a week on site.Financial ServicesLorien's Leading Financial Services client is looking for a Data Analyst to join the existing team on an expanding project.This role will be working on a Data Migration task to assist with the delivery of Ceded Data FTOM, Reconciliation of Data and Ledgers, Data Cleansing, and working closely alongside Accounting Team to ensure data is accurate and appropriate.This role is based in London.This role will be Via Umbrell…",https://www.adzuna.co.uk/jobs/details/5148319783?utm_medium=api&utm_source=335654ca,43594.07,False
Data Analyst,Sanderson,"London, UK",78000.0,94900.0,IT Jobs,"Data / MI Analyst - Contract Working Arrangement: 5 Days a Week Onsite (With Occasional WFH Days) Central London Day Rate: £300 - £360 per day via Umbrella Engagement (Inside IR35) Length: 6 Months As our client settles into their new office space, they are looking for a Data / MI Analyst to join our Corporate Estate Services team. This is a fantastic opportunity for someone looking to develop their analytical skills in a real-world corporate environment, working with data to inform key busines…",https://www.adzuna.co.uk/jobs/details/5126248209?utm_medium=api&utm_source=335654ca,86450.0,False
Data Analyst,Sanderson Recruitment,"The City, Central London",78000.0,94900.0,IT Jobs,"Data / MI Analyst - Contract Working Arrangement: 5 Days a Week Onsite (With Occasional WFH Days) Central London Day Rate: £300 - £360 per day via Umbrella Engagement (Inside IR35) Length: 6 Months As our client settles into their new office space, they are looking for a Data / MI Analyst to join our Corporate Estate Services team. This is a fantastic opportunity for someone looking to develop their analytical skills in a real-world corporate environment, working with data to inform key busines…",https://www.adzuna.co.uk/jobs/details/5128107537?utm_medium=api&utm_source=335654ca,86450.0,False
Data Analyst,Relay Technologies,"London, UK",40519.59,40519.59,IT Jobs,"Company mission In the future, almost everything we consume will simply materialise on our doorsteps – what we call “e-commerce” today will simply be “commerce” tomorrow. But if we continue on today’s trajectory, the growth of e-commerce risks damaging the environment, alienating our communities, and straining the bottom-line for small businesses. Relay is an e-commerce-native logistics network. We are built from the ground up for environmental, social, and economic sustainability. By building …",https://www.adzuna.co.uk/jobs/details/5112079366?utm_medium=api&utm_source=335654ca,40519.59,False
Data Analyst,TransitionZero,"Waterloo, South East London",42000.0,56000.0,IT Jobs,"About Us We are a climate analytics nonprofit established in 2021. We provide system modelling data, software and analysis to support energy transition planning and decision-making. We are grant-funded by the Quadrature Climate Foundation, Google.org, Sequoia Climate Foundation, Bloomberg Philanthropies, European Climate Foundation, among others. Our data, software and analysis is used by developers, financiers, planners and think tanks internationally. At TransitionZero, we understand that div…",https://www.adzuna.co.uk/jobs/details/5149273357?utm_medium=api&utm_source=335654ca,49000.0,False
Data Analyst,Creative Artists Agency ,"London, UK",38842.76,38842.76,IT Jobs,"OVERVIEW CAA Base are searching for a Data Analyst to join the existing Analysis department at the agency. Reporting to the Player ID & Data Insights Manager, and working closely with 2 Data Scientists and the wider ‘Design & Analysis’ team, this role would suit a data-driven football enthusiast with strong analytical and communication skills as well as a deep knowledge of players and tactics. The ability to interpret complex football data and to communicate the actionable insights in a concise…",https://www.adzuna.co.uk/jobs/details/5127176568?utm_medium=api&utm_source=335654ca,38842.76,False
Data Analyst,Creative Artists Agency,"London, UK",41583.15,41583.15,IT Jobs,"Job Description THE AGENCY CAA Sports UK is a division of Creative Artists Agency (CAA). CAA is the world’s leading entertainment and sports agency, with offices in Los Angeles, New York, Nashville, London and Beijing. Founded in 1975, CAA represents many of the most successful professionals working in film, television, music, theatre, video games, sport, and digital content, and provides a range of strategic marketing and consulting services to corporate clients. CAA Base is the agency for pro…",https://www.adzuna.co.uk/jobs/details/5131145080?utm_medium=api&utm_source=335654ca,41583.15,False
Data Analyst,DRW,"London, UK",57455.94,57455.94,IT Jobs,"DRW is a diversified trading firm with over 3 decades of experience bringing sophisticated technology and exceptional people together to operate in markets around the world. We value autonomy and the ability to quickly pivot to capture opportunities, so we operate using our own capital and trading at our own risk. Headquartered in Chicago with offices throughout the U.S., Canada, Europe, and Asia, we trade a variety of asset classes including Fixed Income, ETFs, Equities, FX, Commodities and En…",https://www.adzuna.co.uk/jobs/details/5007670551?utm_medium=api&utm_source=335654ca,57455.94,False
Data Analyst,Office for Nuclear Regulation,"Moorgate, Central London",69056.3,69056.3,IT Jobs,"Data Analyst £35,191 - £41,218 (in addition a market rate allowance may be available plus £4,052 London Weighting allowance if it applies) Bootle, Cheltenham or London Help us bring all our data together The challenge We shape and deliver nuclear safety and security regulation right across the UK, so we need to evolve fast. That’s why we’re investing in digital applications and channels — from new tech capabilities to sprint methodologies, the cloud and scrum mentality. Centralising data is a h…",https://www.adzuna.co.uk/jobs/details/4213291721?utm_medium=api&utm_source=335654ca,69056.3,False
